t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
5.54639962045383529e-09   2.23787355633847529e+00   1.43468130579100010e-168
5.56180628606620701e-09   2.83257873813162186e+00   5.58532962891513003e-170
5.57721295167857872e-09   1.59943751891089314e+00   2.14475530458119085e-171
5.59261961729095044e-09   -7.34177411720488449e-01   8.12341646681889414e-173
5.60802628290332215e-09   -2.68997351972124665e+00   3.03631072244407235e-174
5.62343294851569387e-09   -2.96810606068539684e+00   0.00000000000000000e+00
5.63883961412806559e-09   -1.30440015583421909e+00   0.00000000000000000e+00
5.65424627974043813e-09   1.30642442234914524e+00   0.00000000000000000e+00
5.66965294535280985e-09   3.19814306908714396e+00   0.00000000000000000e+00
5.68505961096518156e-09   3.08846031088217909e+00   0.00000000000000000e+00
5.70046627657755328e-09   9.37850710565989676e-01   0.00000000000000000e+00
5.71587294218992500e-09   -1.95838227237794271e+00   0.00000000000000000e+00
5.73127960780229671e-09   -3.74457378385302198e+00   0.00000000000000000e+00
5.74668627341466843e-09   -3.18610504605124900e+00   0.00000000000000000e+00
5.76209293902704015e-09   -5.09344448980554088e-01   0.00000000000000000e+00
5.77749960463941186e-09   2.66495316995978904e+00   0.00000000000000000e+00
5.79290627025178358e-09   4.29953228073491012e+00   0.00000000000000000e+00
5.80831293586415530e-09   3.24225337988746221e+00   0.00000000000000000e+00
5.82371960147652701e-09   2.28952702094922245e-02   0.00000000000000000e+00
